start_lat,start_lon,end_lat,end_lon
42.8333,12.8333,40.0,127.0
40.0,127.0,40.0,127.0
40.0,127.0,40.0,127.0
40.0,127.0,40.0,127.0
40.0,127.0,40.0,127.0
40.0,127.0,40.0,127.0
40.0,127.0,40.0,127.0
40.0,127.0,56.0,24.0
56.0,24.0,2.5,112.5
2.5,112.5,23.0,-102.0
23.0,-102.0,23.0,-102.0
23.0,-102.0,23.0,-102.0
23.0,-102.0,23.0,-102.0
23.0,-102.0,-41.0,174.0
-41.0,174.0,-41.0,174.0
-41.0,174.0,30.0,70.0
30.0,70.0,52.0,20.0
52.0,20.0,52.0,20.0
52.0,20.0,39.5,-8.0
39.5,-8.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,60.0,100.0
60.0,100.0,44.0,21.0
44.0,21.0,40.0,-4.0
40.0,-4.0,40.0,-4.0
40.0,-4.0,40.0,-4.0
40.0,-4.0,40.0,-4.0
40.0,-4.0,47.0,8.0
47.0,8.0,47.0,8.0
47.0,8.0,47.0,8.0
47.0,8.0,47.0,8.0
47.0,8.0,23.5,121.0
23.5,121.0,23.5,121.0
23.5,121.0,15.0,100.0
